"course","speed","day","time","lon","lat","seq","way","video_time","USRight","USLeft","USRear","LidarRight","LidarLeft","CO","SO","O3","NO","P10","P25"
234.57,3.12,"210717",2017-07-20 21:06:20,0,0,111,"go",2017-07-20 23:59:40,247.65,54.61,642.62,1234.5,1895,NA,NA,NA,NA,NA,NA
234.27,2.83,"210717",2017-07-20 21:06:21,0,0,112,"go",2017-07-20 23:59:41,132.08,53.34,642.62,954,1905,786,995,776,506,26.8,19.8
237.16,3.32,"210717",2017-07-20 21:06:22,0,0,113,"go",2017-07-20 23:59:42,15.24,53.34,641.35,895,2003.5,NA,NA,NA,NA,NA,NA
234.65,2.2,"210717",2017-07-20 21:06:23,0,0,114,"go",2017-07-20 23:59:43,238.76,54.61,642.62,909,1957,789,784,777,786,26.7,19.8
234.8,3.49,"210717",2017-07-20 21:06:24,0,0,115,"go",2017-07-20 23:59:44,73.66,54.61,632.46,273.5,552,NA,NA,NA,NA,NA,NA
236.95,2.56,"210717",2017-07-20 21:06:25,0,0,116,"go",2017-07-20 23:59:45,57.15,55.88,642.62,215,2118.5,789,778,776,850,26.5,19.8
234.76,1.8,"210717",2017-07-20 21:06:26,0,0,117,"go",2017-07-20 23:59:46,125.73,55.88,642.62,280,1223,NA,NA,NA,NA,NA,NA
230.18,2.86,"210717",2017-07-20 21:06:27,0,0,118,"go",2017-07-20 23:59:47,59.69,54.61,641.35,253.5,2326.5,795,752,776,603,26.9,19.7
229.92,1.25,"210717",2017-07-20 21:06:28,0,0,119,"go",2017-07-20 23:59:48,116.84,59.69,641.35,347,1,NA,NA,NA,NA,NA,NA
229.92,0.49,"210717",2017-07-20 21:06:29,0,0,120,"go",2017-07-20 23:59:49,125.73,55.88,642.62,439,763,790,742,776,844,27.8,19.8
229.92,0.46,"210717",2017-07-20 21:06:30,0,0,121,"go",2017-07-20 23:59:50,127,55.88,613.41,1055,957,NA,NA,NA,NA,NA,NA
48.47,1.15,"210717",2017-07-20 21:06:31,0,0,122,"go",2017-07-20 23:59:51,71.12,55.88,642.62,906,1561.5,790,814,776,826,28,19.8
49.5,0.88,"210717",2017-07-20 21:06:32,0,0,123,"go",2017-07-20 23:59:52,227.33,55.88,641.35,952,1029,NA,NA,NA,NA,NA,NA
48.41,1.48,"210717",2017-07-20 21:06:33,0,0,124,"go",2017-07-20 23:59:53,290.83,55.88,642.62,863,1794,794,571,774,887,28.3,19.8
48.76,2.19,"210717",2017-07-20 21:06:34,0,0,125,"go",2017-07-20 23:59:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.21,1.85,"210717",2017-07-20 21:06:35,0,0,126,"go",2017-07-20 23:59:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46.94,1.53,"210717",2017-07-20 21:06:36,0,0,127,"go",2017-07-20 23:59:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.28,0.85,"210717",2017-07-20 21:06:37,0,0,128,"go",2017-07-20 23:59:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.11,1.13,"210717",2017-07-20 21:06:38,0,0,129,"go",2017-07-20 23:59:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.97,0.86,"210717",2017-07-20 21:06:39,0,0,130,"go",2017-07-20 23:59:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.63,"210717",2017-07-20 21:06:40,0,0,131,"go",2017-07-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.32,"210717",2017-07-20 21:06:41,0,0,132,"go",2017-07-21 00:00:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.33,"210717",2017-07-20 21:06:42,0,0,133,"go",2017-07-21 00:00:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.18,"210717",2017-07-20 21:06:43,0,0,134,"go",2017-07-21 00:00:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.24,"210717",2017-07-20 21:06:44,0,0,135,"go",2017-07-21 00:00:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.24,"210717",2017-07-20 21:06:45,0,0,136,"go",2017-07-21 00:00:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.56,"210717",2017-07-20 21:06:46,0,0,137,"go",2017-07-21 00:00:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.01,"210717",2017-07-20 21:06:47,0,0,138,"go",2017-07-21 00:00:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.07,0.02,"210717",2017-07-20 21:06:48,0,0,139,"go",2017-07-21 00:00:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.6,0.77,"210717",2017-07-20 21:06:49,0,0,140,"go",2017-07-21 00:00:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.6,0.48,"210717",2017-07-20 21:06:50,0,0,141,"go",2017-07-21 00:00:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228.93,1.11,"210717",2017-07-20 21:06:51,0,0,142,"go",2017-07-21 00:00:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.68,1.03,"210717",2017-07-20 21:06:52,0,0,143,"go",2017-07-21 00:00:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228.9,1.93,"210717",2017-07-20 21:06:53,0,0,144,"go",2017-07-21 00:00:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.74,1.42,"210717",2017-07-20 21:06:54,0,0,145,"go",2017-07-21 00:00:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.74,0.43,"210717",2017-07-20 21:06:55,0,0,146,"go",2017-07-21 00:00:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.3,0.81,"210717",2017-07-20 21:06:56,0,0,147,"go",2017-07-21 00:00:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.42,0.95,"210717",2017-07-20 21:06:57,0,0,148,"go",2017-07-21 00:00:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.21,0.71,"210717",2017-07-20 21:06:58,0,0,149,"go",2017-07-21 00:00:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.92,0.94,"210717",2017-07-20 21:06:59,0,0,150,"go",2017-07-21 00:00:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.5,2.32,"210717",2017-07-20 21:07:00,0,0,151,"go",2017-07-21 00:00:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.54,2.07,"210717",2017-07-20 21:07:01,0,0,152,"go",2017-07-21 00:00:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.77,1.59,"210717",2017-07-20 21:07:02,0,0,153,"go",2017-07-21 00:00:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.15,1.48,"210717",2017-07-20 21:07:03,0,0,154,"go",2017-07-21 00:00:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.78,1.84,"210717",2017-07-20 21:07:04,0,0,155,"go",2017-07-21 00:00:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.75,1.27,"210717",2017-07-20 21:07:05,0,0,156,"go",2017-07-21 00:00:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.77,2.2,"210717",2017-07-20 21:07:06,0,0,157,"go",2017-07-21 00:00:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235.26,2.47,"210717",2017-07-20 21:07:07,0,0,158,"go",2017-07-21 00:00:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.36,1.52,"210717",2017-07-20 21:07:08,0,0,159,"go",2017-07-21 00:00:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.61,1.61,"210717",2017-07-20 21:07:09,0,0,160,"go",2017-07-21 00:00:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.15,1.28,"210717",2017-07-20 21:07:10,0,0,161,"go",2017-07-21 00:00:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.46,1.31,"210717",2017-07-20 21:07:11,0,0,162,"go",2017-07-21 00:00:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.26,0.8,"210717",2017-07-20 21:07:12,0,0,163,"go",2017-07-21 00:00:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.92,1.36,"210717",2017-07-20 21:07:13,0,0,164,"go",2017-07-21 00:00:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.33,1.52,"210717",2017-07-20 21:07:14,0,0,165,"go",2017-07-21 00:00:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235.05,1.21,"210717",2017-07-20 21:07:15,0,0,166,"go",2017-07-21 00:00:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
