,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1658,12.7,17.78,91.44,1,423,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215253,1658
1659,15.24,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215254,1659
1660,15.24,17.78,93.98,1,1,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215254,1660
1661,12.7,17.78,91.44,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215254,1661
1662,12.7,17.78,96.52,1,791,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215254,1662
1663,15.24,17.78,88.9,1,482,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215255,1663
1664,15.24,17.78,93.98,1,402,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215255,1664
1665,15.24,17.78,88.9,1,329,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215255,1665
1666,12.7,17.78,88.9,1,227,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215256,1666
1667,12.7,17.78,88.9,1,138,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215256,1667
1668,15.24,17.78,93.98,1,98,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215256,1668
1669,12.7,17.78,88.9,1,424,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215257,1669
1670,12.7,17.78,86.36,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215257,1670
1671,12.7,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215257,1671
1672,12.7,17.78,96.52,272,1,4095,4095,10.4,9.2,4095,4095,1.90717E+11,proximity,190717,215257,1672
1673,12.7,17.78,93.98,1234,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215258,1673
1674,15.24,17.78,96.52,348,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215258,1674
1675,12.7,17.78,91.44,1235,86,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215258,1675
1676,12.7,17.78,88.9,377,77,4095,4095,10.4,9.2,4095,4095,1.90717E+11,proximity,190717,215259,1676
1677,15.24,17.78,91.44,354,75,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215259,1677
1678,15.24,17.78,86.36,445,58,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215259,1678
1679,12.7,17.78,91.44,500,1742,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215259,1679
1680,15.24,17.78,86.36,523,1712,4095,4095,10.4,9.2,4095,4095,1.90717E+11,proximity,190717,215300,1680
1681,15.24,17.78,91.44,528,1712,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215300,1681
1682,15.24,17.78,88.9,627,566,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215300,1682
1683,12.7,17.78,93.98,1,157,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215300,1683
1684,12.7,17.78,93.98,1,124,4095,4095,10.3,9.1,4095,4095,1.90717E+11,proximity,190717,215301,1684
1685,12.7,17.78,91.44,1,124,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215301,1685
1686,15.24,17.78,91.44,1,139,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215301,1686
1687,15.24,17.78,88.9,1,151,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215302,1687
1688,12.7,17.78,88.9,1,155,4095,4095,10.3,9,4095,4095,1.90717E+11,proximity,190717,215302,1688
1689,12.7,17.78,88.9,1,157,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215302,1689
1690,12.7,17.78,88.9,1,158,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215302,1690
1691,12.7,17.78,86.36,1,156,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215303,1691
1692,12.7,17.78,88.9,1,162,4095,4095,10.2,8.9,4095,4095,1.90717E+11,proximity,190717,215303,1692
1693,15.24,17.78,93.98,1505,236,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215303,1693
1694,15.24,17.78,96.52,1,453,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215303,1694
1695,15.24,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215304,1695
1696,15.24,17.78,93.98,1,193,4095,4095,10.1,8.9,4095,4095,1.90717E+11,proximity,190717,215304,1696
1697,12.7,17.78,96.52,1,153,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215304,1697
1698,12.7,17.78,96.52,1370,161,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215304,1698
1699,15.24,17.78,93.98,1,177,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215305,1699
1700,12.7,17.78,93.98,1,488,4095,4095,10,8.9,4095,4095,1.90717E+11,proximity,190717,215305,1700
1701,12.7,17.78,93.98,1,490,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215305,1701
1702,12.7,17.78,88.9,1,900,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215306,1702
1703,15.24,17.78,88.9,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215306,1703
1704,15.24,17.78,86.36,1,616,4095,4095,10,8.9,4095,4095,1.90717E+11,proximity,190717,215306,1704
1705,12.7,17.78,91.44,1,627,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215306,1705
1706,12.7,17.78,86.36,1526,252,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215307,1706
1707,12.7,17.78,88.9,1584,262,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215307,1707
1708,12.7,17.78,91.44,1,257,4095,4095,10,8.9,4095,4095,1.90717E+11,proximity,190717,215307,1708
1709,12.7,20.32,88.9,1,257,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215308,1709
1710,12.7,17.78,86.36,927,266,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215308,1710
1711,12.7,17.78,88.9,252,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215308,1711
1712,15.24,17.78,88.9,1,570,4095,4095,10,8.9,4095,4095,1.90717E+11,proximity,190717,215308,1712
1713,12.7,17.78,88.9,1,569,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215309,1713
1714,12.7,17.78,88.9,1,271,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215309,1714
1715,12.7,17.78,88.9,1,281,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215309,1715
1716,15.24,17.78,88.9,1,282,4095,4095,9.8,8.8,4095,4095,1.90717E+11,proximity,190717,215309,1716
1717,12.7,17.78,96.52,1,287,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215310,1717
1718,12.7,17.78,93.98,3432,288,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215310,1718
1719,12.7,17.78,91.44,1,301,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215310,1719
1720,15.24,17.78,93.98,4021,1,4095,4095,9.8,8.8,4095,4095,1.90717E+11,proximity,190717,215311,1720
1721,12.7,17.78,86.36,1,634,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215311,1721
1722,12.7,17.78,91.44,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215311,1722
1723,12.7,17.78,88.9,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215311,1723
1724,12.7,17.78,86.36,1,312,4095,4095,9.8,8.8,4095,4095,1.90717E+11,proximity,190717,215312,1724
1725,12.7,20.32,91.44,1,277,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215312,1725
1726,12.7,17.78,93.98,1,255,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215312,1726
1727,12.7,17.78,99.06,1,240,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215312,1727
1728,15.24,17.78,93.98,1,223,4095,4095,9.8,8.8,4095,4095,1.90717E+11,proximity,190717,215313,1728
1729,15.24,17.78,88.9,1,329,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215313,1729
1730,12.7,17.78,86.36,665,1141,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215313,1730
1731,15.24,17.78,91.44,597,1128,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215314,1731
1732,12.7,17.78,88.9,578,1122,4095,4095,9.7,8.7,4095,4095,1.90717E+11,proximity,190717,215314,1732
1733,12.7,17.78,88.9,576,1113,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215314,1733
