"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"683","08423.1208","182.41","3346.0624","10.33","200717",1430,"1430","",NA,683
"684","08423.1206","182.15","3346.0597","8.20","200717",1431,"1431","",NA,684
"685","08423.1203","180.94","3346.0574","7.18","200717",1432,"1432","",NA,685
"686","08423.1203","180.65","3346.0554","6.37","200717",1433,"1433","",NA,686
"687","08423.1203","180.29","3346.0536","5.08","200717",1434,"1434","",NA,687
"688","08423.1205","194.21","3346.0524","3.27","200717",1435,"1435","",NA,688
"689","08423.1208","194.21","3346.0515","2.22","200717",1436,"1436","",NA,689
"690","08423.1210","194.21","3346.0508","2.04","200717",1437,"1437","",NA,690
"691","08423.1210","194.21","3346.0504","1.38","200717",1438,"1438","",NA,691
"692","08423.1209","194.21","3346.0500","1.67","200717",1439,"1439","",NA,692
"693","08423.1206","194.21","3346.0498","1.98","200717",1440,"1440","",NA,693
"694","08423.1205","194.21","3346.0499","1.24","200717",1441,"1441","",NA,694
"695","08423.1199","194.21","3346.0497","1.04","200717",1442,"1442","",NA,695
"696","08423.1199","194.21","3346.0498","0.82","200717",1443,"1443","",NA,696
"697","08423.1197","194.21","3346.0499","1.08","200717",1444,"1444","",NA,697
"698","08423.1197","194.21","3346.0502","0.94","200717",1445,"1445","",NA,698
"699","08423.1196","194.21","3346.0504","0.80","200717",1446,"1446","",NA,699
"700","08423.1194","194.21","3346.0506","0.59","200717",1447,"1447","",NA,700
"701","08423.1193","194.21","3346.0505","0.65","200717",1448,"1448","",NA,701
"702","08423.1191","194.21","3346.0503","0.67","200717",1449,"1449","",NA,702
"703","08423.1190","194.21","3346.0502","0.62","200717",1450,"1450","",NA,703
"704","08423.1188","194.21","3346.0501","0.64","200717",1451,"1451","",NA,704
"705","08423.1186","194.21","3346.0500","0.00","200717",1452,"1452","",NA,705
"706","08423.1186","194.21","3346.0500","0.00","200717",1453,"1453","",NA,706
"707","08423.1187","194.21","3346.0495","0.00","200717",1454,"1454","",NA,707
