long,course,lat,speed,day,utc_time,Time
8423.9751,274.62,3346.9702,7.24,200717,14200,2017-07-20 14:20:00
8423.9776,269.29,3346.9703,6.82,200717,14201,2017-07-20 14:20:01
8423.9801,265.85,3346.9703,7.27,200717,14202,2017-07-20 14:20:02
8423.9825,264.46,3346.9701,7,200717,14203,2017-07-20 14:20:03
8423.985,272.83,3346.9704,6.45,200717,14204,2017-07-20 14:20:04
8423.9875,278.55,3346.9707,6.62,200717,14205,2017-07-20 14:20:05
8423.9898,277.97,3346.971,6.67,200717,14206,2017-07-20 14:20:06
8423.9921,277.01,3346.971,6.99,200717,14207,2017-07-20 14:20:07
8423.9945,276.31,3346.971,6.6,200717,14208,2017-07-20 14:20:08
8423.9968,275.44,3346.971,6.06,200717,14209,2017-07-20 14:20:09
8423.9989,274.8,3346.9708,6.27,200717,14210,2017-07-20 14:21:00
8424.0009,273.95,3346.9707,5.8,200717,14211,2017-07-20 14:21:01
8424.0036,272.52,3346.9709,7.21,200717,14212,2017-07-20 14:21:02
8424.0061,271.4,3346.971,7.15,200717,14213,2017-07-20 14:21:03
8424.0087,270.62,3346.9711,6.97,200717,14214,2017-07-20 14:21:04
8424.0111,268.93,3346.9711,6.89,200717,14215,2017-07-20 14:21:05
8424.0132,268.02,3346.971,6.25,200717,14216,2017-07-20 14:21:06
8424.0154,266.21,3346.9707,6.18,200717,14217,2017-07-20 14:21:07
8424.0175,270.76,3346.9707,6.13,200717,14218,2017-07-20 14:21:08
8424.0197,273.58,3346.9708,6.16,200717,14219,2017-07-20 14:21:09
8424.0217,274.45,3346.971,5.94,200717,14220,2017-07-20 14:22:00
8424.0236,274.33,3346.9711,5.49,200717,14221,2017-07-20 14:22:01
8424.0255,272.91,3346.9713,4.76,200717,14222,2017-07-20 14:22:02
8424.0269,273.74,3346.9714,3.84,200717,14223,2017-07-20 14:22:03
8424.0285,266,3346.9714,4.68,200717,14224,2017-07-20 14:22:04
8424.0304,266.58,3346.9714,5.4,200717,14225,2017-07-20 14:22:05
8424.0329,267.77,3346.9715,7.91,200717,14226,2017-07-20 14:22:06
8424.0356,269.25,3346.9719,8.43,200717,14227,2017-07-20 14:22:07
8424.0384,269.82,3346.9722,8.05,200717,14228,2017-07-20 14:22:08
8424.0412,269.75,3346.9722,7.74,200717,14229,2017-07-20 14:22:09
